card_id,category_3_is_A
C_ID_92a2005557,0.0
C_ID_3d0044924f,0.0
C_ID_d639edf6cd,0.0
C_ID_186d6a6901,0.0
C_ID_cdbd2c0db2,0.0
C_ID_0894217f2f,1.0
C_ID_7e63323c00,0.0
C_ID_dfa21fc124,0.0
C_ID_fe0fdac8ea,1.0
C_ID_bf62c0b49d,1.0
C_ID_92853cdb2c,1.0
C_ID_269d816788,1.0
C_ID_61d50d7057,1.0
C_ID_4e07413433,0.0
C_ID_b6302b31c6,0.0
C_ID_3b69154173,1.0
C_ID_9feec11e78,0.0
C_ID_f6658dbefe,0.0
C_ID_4a7dda0f9e,0.0
C_ID_6adae2a906,0.0
C_ID_0b70ca7347,0.0
C_ID_25b2509282,1.0
C_ID_82fb11db22,0.0
C_ID_e03db05bde,0.0
C_ID_dcb7c76747,0.0
C_ID_749cfc0c3a,1.0
C_ID_4a97126360,1.0
C_ID_17dea8d446,1.0
C_ID_fcef0dfd67,1.0
C_ID_82868156f0,0.0
C_ID_8fa2ad405d,0.0
C_ID_ee82cdf108,1.0
C_ID_22ca4a5cdc,1.0
C_ID_7130fd2b3d,1.0
C_ID_3140b5e572,1.0
C_ID_022b48f3ac,0.0
C_ID_0fb5eebcbb,0.0
C_ID_38a4be198d,0.0
C_ID_8ffb6daff8,1.0
C_ID_5967df7a42,1.0
C_ID_c8cd0080cb,0.0
C_ID_69e95a3ec9,1.0
C_ID_994d1ce39d,0.0
C_ID_1919f9080e,1.0
C_ID_c9fc613553,0.0
C_ID_bff4607e58,1.0
C_ID_f478df16fd,1.0
C_ID_69350a7ab6,0.0
C_ID_6c3cd81c4c,1.0
C_ID_f2e927e5da,1.0
C_ID_3681e149f7,1.0
C_ID_4673dd0b7b,0.0
C_ID_092d98ce80,1.0
C_ID_a1bbd3be59,1.0
C_ID_db7c9bec8b,1.0
C_ID_81b1b66bad,1.0
C_ID_1490b92f50,0.0
C_ID_e5e2476a92,0.0
C_ID_d6f59286b8,1.0
C_ID_bb8dedf426,1.0
C_ID_f599442c5a,1.0
C_ID_dc2bed74b4,1.0
C_ID_92b43c45f8,1.0
C_ID_ddaccbc994,0.0
C_ID_8186f3fcc1,1.0
C_ID_cc9651279c,1.0
C_ID_a2152a599d,1.0
C_ID_8e6c22b8b8,0.0
C_ID_d1d859645f,0.0
C_ID_954f09c674,1.0
C_ID_3dc690b811,0.0
C_ID_b1a43b9458,0.0
C_ID_a46cd7043f,1.0
C_ID_e58112a217,0.0
C_ID_642f591402,0.0
C_ID_55c8d478eb,1.0
C_ID_21c68ed023,1.0
C_ID_8fdb8d95cd,0.0
C_ID_991e1dbbd1,1.0
C_ID_6dd4663764,1.0
C_ID_09da8a2858,0.0
C_ID_4aa921d7ab,1.0
C_ID_4761b1fe4b,1.0
C_ID_3dc6288d77,1.0
C_ID_a5a8717598,0.0
C_ID_6f9037a176,1.0
C_ID_db2bc1cc20,1.0
C_ID_04dd9152c7,0.0
C_ID_ac0d392217,1.0
C_ID_923262df45,0.0
C_ID_643ddaea8c,1.0
C_ID_d37ca48da9,1.0
C_ID_b9379a30ea,0.0
C_ID_281e89ae65,0.0
C_ID_c77514f6b2,1.0
C_ID_d9388844f8,0.0
C_ID_24b7e16c4f,0.0
C_ID_a8ad576b32,0.0
C_ID_26364d47bb,0.0
C_ID_26655f11a1,1.0
C_ID_88b24ae44b,1.0
C_ID_95c97b86ff,1.0
C_ID_2b8df5e6d7,1.0
C_ID_f2ff275b30,1.0
C_ID_7df488e4f0,1.0
C_ID_30bcfdd9ed,0.0
C_ID_a2a84f3720,1.0
C_ID_03ef764f46,0.0
C_ID_4ea4d9ddb5,1.0
C_ID_cdc6535b18,1.0
C_ID_60cf5965bf,1.0
C_ID_ad37febe59,1.0
C_ID_b0d0351f09,1.0
C_ID_cc6bf68bd6,0.0
C_ID_94dbdd8a0e,0.0
C_ID_568d03c096,0.0
C_ID_8a6ddf2443,1.0
C_ID_e6590aa516,1.0
C_ID_e7cf944cc0,1.0
C_ID_ddce4462b9,0.0
C_ID_0510accad2,1.0
C_ID_bd0f6204c3,0.0
C_ID_f71094b54d,1.0
C_ID_ada2ba0f82,0.0
C_ID_e41d01e0f8,1.0
C_ID_e9120f535c,1.0
C_ID_4e2e2c0822,1.0
C_ID_47b67a62db,1.0
C_ID_951ae2900b,1.0
C_ID_ddc8caf01a,0.0
C_ID_dd66eba051,1.0
C_ID_683653ecea,1.0
C_ID_9eef831220,0.0
C_ID_28629faf1c,0.0
C_ID_c0e8bf822a,0.0
C_ID_aa9cdb0688,1.0
C_ID_1a7c066cc9,0.0
C_ID_c05a675a7d,1.0
C_ID_ddc3f69a4e,0.0
C_ID_105f511a27,1.0
C_ID_20d0e314f4,1.0
C_ID_ea712ff4f8,0.0
C_ID_822e5f5afb,1.0
C_ID_ed671a4945,1.0
C_ID_9aba554d31,0.0
C_ID_e1d8e25e53,1.0
C_ID_0b67ae3bc4,0.0
C_ID_5161cba93b,1.0
C_ID_027f37fa0d,0.0
C_ID_18411de762,0.0
C_ID_839c8597b8,0.0
C_ID_65715cb80d,1.0
C_ID_625b72b590,1.0
C_ID_cf1b15e7d7,1.0
C_ID_93001e1fd6,0.0
C_ID_ed6b23eaba,0.0
C_ID_83495e5529,0.0
C_ID_7c00860572,1.0
C_ID_5519a62808,0.0
C_ID_df9f792e4c,0.0
C_ID_0604bba3c8,1.0
C_ID_45591c7bca,0.0
C_ID_d8968bcd7d,1.0
C_ID_ed5a08fb1e,1.0
C_ID_b1ef170f73,1.0
C_ID_062cc54c54,0.0
C_ID_21bfc1218d,1.0
C_ID_9175843cc7,1.0
C_ID_a30fef89fb,0.0
C_ID_b92a6c2d5d,1.0
C_ID_72447b5e19,1.0
C_ID_97988e3247,0.0
C_ID_8aca1a4d7b,0.0
C_ID_6446a327fb,1.0
C_ID_020ae974ca,0.0
C_ID_7decdf7eec,1.0
C_ID_87772080eb,1.0
C_ID_fc0920142f,1.0
C_ID_306cda06b0,1.0
C_ID_a7fb098de8,1.0
C_ID_f2d10f59ab,0.0
C_ID_7a2d33f66a,1.0
C_ID_a34422b7b8,1.0
C_ID_fbd3e3b818,1.0
C_ID_e040cf57d7,1.0
C_ID_95ec020d6f,0.0
C_ID_243e678e0b,1.0
C_ID_3848df3dfd,1.0
C_ID_8fc73d1ef2,0.0
C_ID_11150a0b04,1.0
C_ID_65af193e8d,1.0
C_ID_f4bd0af9aa,1.0
C_ID_ce1648c459,1.0
C_ID_e7358ded9c,0.0
C_ID_eb47fbd9a5,0.0
C_ID_6806243856,0.0
C_ID_94c9a017a7,1.0
C_ID_6a1a521600,0.0
C_ID_a0a63483bc,0.0
C_ID_52ade919cf,1.0
C_ID_a6f64ab245,0.0
C_ID_fbf9b79e13,1.0
C_ID_6e07f0acd9,0.0
C_ID_151cf18b15,1.0
C_ID_028bd7dc53,1.0
C_ID_0a622086f6,1.0
C_ID_66eedba4e6,0.0
C_ID_79a6de32d2,1.0
C_ID_3727486ab7,1.0
C_ID_242e76a513,0.0
C_ID_b786fdad3c,0.0
C_ID_d8036ab539,1.0
C_ID_27800c37cc,1.0
C_ID_9870167830,1.0
C_ID_bf2d3ffb67,1.0
