card_id,fam
C_ID_92a2005557,67
C_ID_3d0044924f,62
C_ID_d639edf6cd,57
C_ID_186d6a6901,70
C_ID_cdbd2c0db2,72
C_ID_0894217f2f,58
C_ID_7e63323c00,61
C_ID_dfa21fc124,70
C_ID_fe0fdac8ea,69
C_ID_bf62c0b49d,57
C_ID_92853cdb2c,59
C_ID_269d816788,52
C_ID_61d50d7057,70
C_ID_4e07413433,65
C_ID_b6302b31c6,69
C_ID_3b69154173,63
C_ID_9feec11e78,56
C_ID_f6658dbefe,61
C_ID_4a7dda0f9e,72
C_ID_6adae2a906,62
C_ID_0b70ca7347,70
C_ID_25b2509282,55
C_ID_82fb11db22,70
C_ID_e03db05bde,71
C_ID_dcb7c76747,47
C_ID_749cfc0c3a,53
C_ID_4a97126360,68
C_ID_17dea8d446,70
C_ID_fcef0dfd67,50
C_ID_82868156f0,55
C_ID_8fa2ad405d,70
C_ID_ee82cdf108,68
C_ID_22ca4a5cdc,62
C_ID_7130fd2b3d,69
C_ID_3140b5e572,56
C_ID_022b48f3ac,60
C_ID_0fb5eebcbb,57
C_ID_38a4be198d,69
C_ID_8ffb6daff8,48
C_ID_5967df7a42,53
C_ID_c8cd0080cb,72
C_ID_69e95a3ec9,63
C_ID_994d1ce39d,68
C_ID_1919f9080e,72
C_ID_c9fc613553,70
C_ID_bff4607e58,61
C_ID_f478df16fd,70
C_ID_69350a7ab6,18
C_ID_6c3cd81c4c,67
C_ID_f2e927e5da,63
C_ID_3681e149f7,62
C_ID_4673dd0b7b,51
C_ID_092d98ce80,68
C_ID_a1bbd3be59,61
C_ID_db7c9bec8b,67
C_ID_81b1b66bad,71
C_ID_1490b92f50,71
C_ID_e5e2476a92,60
C_ID_d6f59286b8,62
C_ID_bb8dedf426,67
C_ID_f599442c5a,57
C_ID_dc2bed74b4,57
C_ID_92b43c45f8,67
C_ID_ddaccbc994,61
C_ID_8186f3fcc1,70
C_ID_cc9651279c,54
C_ID_a2152a599d,71
C_ID_8e6c22b8b8,62
C_ID_d1d859645f,60
C_ID_954f09c674,27
C_ID_3dc690b811,66
C_ID_b1a43b9458,59
C_ID_a46cd7043f,60
C_ID_e58112a217,61
C_ID_642f591402,63
C_ID_55c8d478eb,66
C_ID_21c68ed023,70
C_ID_8fdb8d95cd,70
C_ID_991e1dbbd1,67
C_ID_6dd4663764,66
C_ID_09da8a2858,73
C_ID_4aa921d7ab,71
C_ID_4761b1fe4b,72
C_ID_3dc6288d77,64
C_ID_a5a8717598,66
C_ID_6f9037a176,68
C_ID_db2bc1cc20,70
C_ID_04dd9152c7,45
C_ID_ac0d392217,62
C_ID_923262df45,72
C_ID_643ddaea8c,62
C_ID_d37ca48da9,59
C_ID_b9379a30ea,42
C_ID_281e89ae65,38
C_ID_c77514f6b2,67
C_ID_d9388844f8,57
C_ID_24b7e16c4f,62
C_ID_a8ad576b32,64
C_ID_26364d47bb,33
C_ID_26655f11a1,58
C_ID_88b24ae44b,67
C_ID_95c97b86ff,62
C_ID_2b8df5e6d7,68
C_ID_f2ff275b30,62
C_ID_7df488e4f0,60
C_ID_30bcfdd9ed,72
C_ID_a2a84f3720,72
C_ID_03ef764f46,62
C_ID_4ea4d9ddb5,69
C_ID_cdc6535b18,72
C_ID_60cf5965bf,65
C_ID_ad37febe59,70
C_ID_b0d0351f09,70
C_ID_cc6bf68bd6,66
C_ID_94dbdd8a0e,55
C_ID_568d03c096,68
C_ID_8a6ddf2443,67
C_ID_e6590aa516,66
C_ID_e7cf944cc0,54
C_ID_ddce4462b9,70
C_ID_0510accad2,69
C_ID_bd0f6204c3,72
C_ID_f71094b54d,39
C_ID_ada2ba0f82,64
C_ID_e41d01e0f8,56
C_ID_e9120f535c,47
C_ID_4e2e2c0822,73
C_ID_47b67a62db,64
C_ID_951ae2900b,72
C_ID_ddc8caf01a,60
C_ID_dd66eba051,31
C_ID_683653ecea,65
C_ID_9eef831220,70
C_ID_28629faf1c,65
C_ID_c0e8bf822a,60
C_ID_aa9cdb0688,48
C_ID_1a7c066cc9,59
C_ID_c05a675a7d,66
C_ID_ddc3f69a4e,60
C_ID_105f511a27,71
C_ID_20d0e314f4,72
C_ID_ea712ff4f8,66
C_ID_822e5f5afb,55
C_ID_ed671a4945,72
C_ID_9aba554d31,32
C_ID_e1d8e25e53,71
C_ID_0b67ae3bc4,68
C_ID_5161cba93b,28
C_ID_027f37fa0d,64
C_ID_18411de762,45
C_ID_839c8597b8,67
C_ID_65715cb80d,64
C_ID_625b72b590,50
C_ID_cf1b15e7d7,72
C_ID_93001e1fd6,61
C_ID_ed6b23eaba,58
C_ID_83495e5529,64
C_ID_7c00860572,69
C_ID_5519a62808,71
C_ID_df9f792e4c,43
C_ID_0604bba3c8,52
C_ID_45591c7bca,58
C_ID_d8968bcd7d,55
C_ID_ed5a08fb1e,64
C_ID_b1ef170f73,56
C_ID_062cc54c54,67
C_ID_21bfc1218d,72
C_ID_9175843cc7,61
C_ID_a30fef89fb,68
C_ID_b92a6c2d5d,58
C_ID_72447b5e19,59
C_ID_97988e3247,67
C_ID_8aca1a4d7b,61
C_ID_6446a327fb,72
C_ID_020ae974ca,65
C_ID_7decdf7eec,53
C_ID_87772080eb,66
C_ID_fc0920142f,57
C_ID_306cda06b0,65
C_ID_a7fb098de8,72
C_ID_f2d10f59ab,71
C_ID_7a2d33f66a,65
C_ID_a34422b7b8,54
C_ID_fbd3e3b818,61
C_ID_e040cf57d7,68
C_ID_95ec020d6f,55
C_ID_243e678e0b,55
C_ID_3848df3dfd,66
C_ID_8fc73d1ef2,65
C_ID_11150a0b04,54
C_ID_65af193e8d,54
C_ID_f4bd0af9aa,62
C_ID_ce1648c459,64
C_ID_e7358ded9c,59
C_ID_eb47fbd9a5,73
C_ID_6806243856,58
C_ID_94c9a017a7,72
C_ID_6a1a521600,30
C_ID_a0a63483bc,70
C_ID_52ade919cf,66
C_ID_a6f64ab245,68
C_ID_fbf9b79e13,70
C_ID_6e07f0acd9,71
C_ID_151cf18b15,66
C_ID_028bd7dc53,69
C_ID_0a622086f6,70
C_ID_66eedba4e6,73
C_ID_79a6de32d2,68
C_ID_3727486ab7,62
C_ID_242e76a513,59
C_ID_b786fdad3c,70
C_ID_d8036ab539,65
C_ID_27800c37cc,67
C_ID_9870167830,73
C_ID_bf2d3ffb67,71
C_ID_acadabf2cf,55
C_ID_126d07b476,67
C_ID_fc3aad0d44,65
C_ID_121ab1de64,68
C_ID_6e8be4bfe6,64
C_ID_f8625969fd,54
C_ID_e9135eb292,66
C_ID_425d2dfcbc,60
C_ID_0312a9bfd7,53
C_ID_935d23ff15,71
C_ID_ae77d244b6,62
C_ID_01f7ddc638,69
C_ID_281d9623a5,69
C_ID_323f262c07,72
C_ID_6d079f9298,68
C_ID_7defcfa99d,70
C_ID_5671eaade7,43
C_ID_f0975077c6,71
C_ID_2a404611e2,71
C_ID_5731d35f32,64
C_ID_a62cc5c5aa,62
C_ID_1c0c76a0b8,70
C_ID_93f5541a0d,49
C_ID_9b8687d7b4,56
C_ID_4f968ee94a,70
C_ID_cda6f8466a,72
C_ID_2ba410859a,73
