card_id,max_installments
C_ID_92a2005557,1.0
C_ID_3d0044924f,12.0
C_ID_d639edf6cd,4.0
C_ID_186d6a6901,10.0
C_ID_cdbd2c0db2,10.0
C_ID_0894217f2f,2.0
C_ID_7e63323c00,10.0
C_ID_dfa21fc124,1.0
C_ID_fe0fdac8ea,1.0
C_ID_bf62c0b49d,5.0
C_ID_92853cdb2c,6.0
C_ID_269d816788,1.0
C_ID_61d50d7057,1.0
C_ID_4e07413433,10.0
C_ID_b6302b31c6,2.0
C_ID_3b69154173,0.0
C_ID_9feec11e78,12.0
C_ID_f6658dbefe,2.0
C_ID_4a7dda0f9e,3.0
C_ID_6adae2a906,10.0
C_ID_0b70ca7347,4.0
C_ID_25b2509282,0.0
C_ID_82fb11db22,4.0
C_ID_e03db05bde,6.0
C_ID_dcb7c76747,4.0
C_ID_749cfc0c3a,3.0
C_ID_4a97126360,0.0
C_ID_17dea8d446,1.0
C_ID_fcef0dfd67,0.0
C_ID_82868156f0,10.0
C_ID_8fa2ad405d,5.0
C_ID_ee82cdf108,6.0
C_ID_22ca4a5cdc,3.0
C_ID_7130fd2b3d,0.0
C_ID_3140b5e572,1.0
C_ID_022b48f3ac,6.0
C_ID_0fb5eebcbb,4.0
C_ID_38a4be198d,10.0
C_ID_8ffb6daff8,1.0
C_ID_5967df7a42,1.0
C_ID_c8cd0080cb,12.0
C_ID_69e95a3ec9,6.0
C_ID_994d1ce39d,1.0
C_ID_1919f9080e,0.0
C_ID_c9fc613553,1.0
C_ID_bff4607e58,0.0
C_ID_f478df16fd,6.0
C_ID_69350a7ab6,2.0
C_ID_6c3cd81c4c,3.0
C_ID_f2e927e5da,0.0
C_ID_3681e149f7,5.0
C_ID_4673dd0b7b,6.0
C_ID_092d98ce80,0.0
C_ID_a1bbd3be59,5.0
C_ID_db7c9bec8b,1.0
C_ID_81b1b66bad,0.0
C_ID_1490b92f50,2.0
C_ID_e5e2476a92,10.0
C_ID_d6f59286b8,12.0
C_ID_bb8dedf426,12.0
C_ID_f599442c5a,1.0
C_ID_dc2bed74b4,0.0
C_ID_92b43c45f8,0.0
C_ID_ddaccbc994,6.0
C_ID_8186f3fcc1,2.0
C_ID_cc9651279c,10.0
C_ID_a2152a599d,1.0
C_ID_8e6c22b8b8,6.0
C_ID_d1d859645f,10.0
C_ID_954f09c674,0.0
C_ID_3dc690b811,6.0
C_ID_b1a43b9458,10.0
C_ID_a46cd7043f,10.0
C_ID_e58112a217,10.0
C_ID_642f591402,5.0
C_ID_55c8d478eb,0.0
C_ID_21c68ed023,12.0
C_ID_8fdb8d95cd,4.0
C_ID_991e1dbbd1,10.0
C_ID_6dd4663764,0.0
C_ID_09da8a2858,6.0
C_ID_4aa921d7ab,1.0
C_ID_4761b1fe4b,1.0
C_ID_3dc6288d77,1.0
C_ID_a5a8717598,6.0
C_ID_6f9037a176,6.0
C_ID_db2bc1cc20,1.0
C_ID_04dd9152c7,1.0
C_ID_ac0d392217,0.0
C_ID_923262df45,12.0
C_ID_643ddaea8c,0.0
C_ID_d37ca48da9,0.0
C_ID_b9379a30ea,3.0
C_ID_281e89ae65,1.0
C_ID_c77514f6b2,5.0
C_ID_d9388844f8,10.0
C_ID_24b7e16c4f,3.0
C_ID_a8ad576b32,6.0
C_ID_26364d47bb,5.0
C_ID_26655f11a1,1.0
C_ID_88b24ae44b,12.0
C_ID_95c97b86ff,1.0
C_ID_2b8df5e6d7,1.0
C_ID_f2ff275b30,2.0
C_ID_7df488e4f0,1.0
C_ID_30bcfdd9ed,5.0
C_ID_a2a84f3720,0.0
C_ID_03ef764f46,4.0
C_ID_4ea4d9ddb5,3.0
C_ID_cdc6535b18,1.0
C_ID_60cf5965bf,1.0
C_ID_ad37febe59,4.0
C_ID_b0d0351f09,1.0
C_ID_cc6bf68bd6,1.0
C_ID_94dbdd8a0e,12.0
C_ID_568d03c096,1.0
C_ID_8a6ddf2443,0.0
C_ID_e6590aa516,0.0
C_ID_e7cf944cc0,5.0
C_ID_ddce4462b9,10.0
C_ID_0510accad2,1.0
C_ID_bd0f6204c3,12.0
C_ID_f71094b54d,1.0
C_ID_ada2ba0f82,1.0
C_ID_e41d01e0f8,1.0
C_ID_e9120f535c,1.0
C_ID_4e2e2c0822,3.0
C_ID_47b67a62db,0.0
C_ID_951ae2900b,0.0
C_ID_ddc8caf01a,6.0
C_ID_dd66eba051,0.0
C_ID_683653ecea,1.0
C_ID_9eef831220,12.0
C_ID_28629faf1c,3.0
C_ID_c0e8bf822a,3.0
C_ID_aa9cdb0688,0.0
C_ID_1a7c066cc9,6.0
C_ID_c05a675a7d,10.0
C_ID_ddc3f69a4e,12.0
C_ID_105f511a27,1.0
C_ID_20d0e314f4,0.0
C_ID_ea712ff4f8,12.0
C_ID_822e5f5afb,0.0
C_ID_ed671a4945,0.0
C_ID_9aba554d31,1.0
C_ID_e1d8e25e53,5.0
C_ID_0b67ae3bc4,5.0
C_ID_5161cba93b,1.0
C_ID_027f37fa0d,10.0
C_ID_18411de762,2.0
C_ID_839c8597b8,10.0
C_ID_65715cb80d,12.0
C_ID_625b72b590,0.0
C_ID_cf1b15e7d7,1.0
C_ID_93001e1fd6,12.0
C_ID_ed6b23eaba,2.0
C_ID_83495e5529,3.0
C_ID_7c00860572,0.0
C_ID_5519a62808,10.0
C_ID_df9f792e4c,7.0
C_ID_0604bba3c8,0.0
C_ID_45591c7bca,12.0
C_ID_d8968bcd7d,3.0
C_ID_ed5a08fb1e,0.0
C_ID_b1ef170f73,10.0
C_ID_062cc54c54,1.0
C_ID_21bfc1218d,6.0
C_ID_9175843cc7,1.0
C_ID_a30fef89fb,3.0
C_ID_b92a6c2d5d,0.0
C_ID_72447b5e19,2.0
C_ID_97988e3247,1.0
C_ID_8aca1a4d7b,12.0
C_ID_6446a327fb,0.0
C_ID_020ae974ca,4.0
C_ID_7decdf7eec,0.0
C_ID_87772080eb,0.0
C_ID_fc0920142f,0.0
C_ID_306cda06b0,12.0
