card_id,unique_city
C_ID_92a2005557,19.0
C_ID_3d0044924f,24.0
C_ID_d639edf6cd,4.0
C_ID_186d6a6901,7.0
C_ID_cdbd2c0db2,9.0
C_ID_0894217f2f,7.0
C_ID_7e63323c00,18.0
C_ID_dfa21fc124,6.0
C_ID_fe0fdac8ea,4.0
C_ID_bf62c0b49d,8.0
C_ID_92853cdb2c,5.0
C_ID_269d816788,2.0
C_ID_61d50d7057,2.0
C_ID_4e07413433,3.0
C_ID_b6302b31c6,5.0
C_ID_3b69154173,11.0
C_ID_9feec11e78,9.0
C_ID_f6658dbefe,11.0
C_ID_4a7dda0f9e,5.0
C_ID_6adae2a906,12.0
C_ID_0b70ca7347,5.0
C_ID_25b2509282,3.0
C_ID_82fb11db22,2.0
C_ID_e03db05bde,10.0
C_ID_dcb7c76747,5.0
C_ID_749cfc0c3a,11.0
C_ID_4a97126360,6.0
C_ID_17dea8d446,2.0
C_ID_fcef0dfd67,7.0
C_ID_82868156f0,7.0
C_ID_8fa2ad405d,4.0
C_ID_ee82cdf108,8.0
C_ID_22ca4a5cdc,10.0
C_ID_7130fd2b3d,6.0
C_ID_3140b5e572,4.0
C_ID_022b48f3ac,8.0
C_ID_0fb5eebcbb,2.0
C_ID_38a4be198d,17.0
C_ID_8ffb6daff8,6.0
C_ID_5967df7a42,5.0
C_ID_c8cd0080cb,6.0
C_ID_69e95a3ec9,14.0
C_ID_994d1ce39d,5.0
C_ID_1919f9080e,2.0
C_ID_c9fc613553,3.0
C_ID_bff4607e58,12.0
C_ID_f478df16fd,7.0
C_ID_69350a7ab6,4.0
C_ID_6c3cd81c4c,9.0
C_ID_f2e927e5da,3.0
C_ID_3681e149f7,9.0
C_ID_4673dd0b7b,2.0
C_ID_092d98ce80,4.0
C_ID_a1bbd3be59,10.0
C_ID_db7c9bec8b,8.0
C_ID_81b1b66bad,4.0
C_ID_1490b92f50,3.0
C_ID_e5e2476a92,15.0
C_ID_d6f59286b8,4.0
C_ID_bb8dedf426,17.0
C_ID_f599442c5a,3.0
C_ID_dc2bed74b4,5.0
C_ID_92b43c45f8,2.0
C_ID_ddaccbc994,9.0
C_ID_8186f3fcc1,5.0
C_ID_cc9651279c,4.0
C_ID_a2152a599d,1.0
C_ID_8e6c22b8b8,2.0
C_ID_d1d859645f,12.0
C_ID_954f09c674,1.0
C_ID_3dc690b811,4.0
C_ID_b1a43b9458,7.0
C_ID_a46cd7043f,11.0
C_ID_e58112a217,11.0
C_ID_642f591402,3.0
C_ID_55c8d478eb,7.0
C_ID_21c68ed023,6.0
C_ID_8fdb8d95cd,10.0
C_ID_991e1dbbd1,6.0
C_ID_6dd4663764,3.0
C_ID_09da8a2858,6.0
C_ID_4aa921d7ab,13.0
C_ID_4761b1fe4b,3.0
C_ID_3dc6288d77,8.0
C_ID_a5a8717598,12.0
C_ID_6f9037a176,8.0
C_ID_db2bc1cc20,3.0
C_ID_04dd9152c7,2.0
C_ID_ac0d392217,1.0
C_ID_923262df45,4.0
C_ID_643ddaea8c,9.0
C_ID_d37ca48da9,2.0
C_ID_b9379a30ea,5.0
C_ID_281e89ae65,6.0
C_ID_c77514f6b2,9.0
C_ID_d9388844f8,35.0
C_ID_24b7e16c4f,6.0
C_ID_a8ad576b32,7.0
C_ID_26364d47bb,3.0
C_ID_26655f11a1,3.0
C_ID_88b24ae44b,11.0
C_ID_95c97b86ff,3.0
C_ID_2b8df5e6d7,3.0
C_ID_f2ff275b30,2.0
C_ID_7df488e4f0,5.0
C_ID_30bcfdd9ed,6.0
C_ID_a2a84f3720,2.0
C_ID_03ef764f46,2.0
C_ID_4ea4d9ddb5,5.0
C_ID_cdc6535b18,7.0
C_ID_60cf5965bf,4.0
C_ID_ad37febe59,4.0
C_ID_b0d0351f09,4.0
C_ID_cc6bf68bd6,3.0
C_ID_94dbdd8a0e,18.0
C_ID_568d03c096,10.0
C_ID_8a6ddf2443,8.0
C_ID_e6590aa516,2.0
C_ID_e7cf944cc0,3.0
C_ID_ddce4462b9,7.0
C_ID_0510accad2,6.0
C_ID_bd0f6204c3,8.0
C_ID_f71094b54d,4.0
C_ID_ada2ba0f82,3.0
C_ID_e41d01e0f8,8.0
C_ID_e9120f535c,5.0
C_ID_4e2e2c0822,10.0
C_ID_47b67a62db,2.0
C_ID_951ae2900b,2.0
C_ID_ddc8caf01a,4.0
C_ID_dd66eba051,1.0
C_ID_683653ecea,8.0
C_ID_9eef831220,4.0
C_ID_28629faf1c,7.0
C_ID_c0e8bf822a,5.0
C_ID_aa9cdb0688,4.0
